Scenario_No,Run_No,dc_Avg_spd,dc_min_spd,pos,lane
Scenario8,2,61.0083,56.477,4500,2
Scenario8,3,63.9819,61.2909,0,1
Scenario8,3,64.3877,62.2879,0,2
Scenario8,3,62.9831,60.0436,500,1
Scenario8,3,63.1691,59.1985,500,2
Scenario8,3,58.8228,42.5882,1000,1
Scenario8,3,59.9936,47.1316,1000,2
Scenario8,3,59.4982,48.4171,1500,1
Scenario8,3,60.5294,52.1185,1500,2
Scenario8,3,60.4662,52.7414,2000,1
Scenario8,3,61.1345,56.5318,2000,2
Scenario8,3,61.3784,56.0371,2500,1
Scenario8,3,62.4409,58.4947,2500,2
Scenario8,3,60.411,53.565,3000,1
Scenario8,3,62.0535,57.6467,3000,2
Scenario8,3,54.402,31.5176,3500,1
Scenario8,3,57.3304,37.0929,3500,2
Scenario8,3,57.0224,44.3936,4000,1
Scenario8,3,58.5466,47.7385,4000,2
Scenario8,3,58.9107,49.5406,4500,1
Scenario8,3,60.3122,53.3017,4500,2
Scenario8,4,64.1181,61.9235,0,1
Scenario8,4,64.4665,62.4991,0,2
Scenario8,4,62.5945,58.0712,500,1
Scenario8,4,62.7904,58.5063,500,2
Scenario8,4,57.2897,44.2853,1000,1
Scenario8,4,57.5147,42.788,1000,2
Scenario8,4,59.3532,50.0423,1500,1
Scenario8,4,60.2089,52.1333,1500,2
Scenario8,4,60.7592,53.9687,2000,1
Scenario8,4,61.4392,55.8563,2000,2
Scenario8,4,61.2924,55.8784,2500,1
Scenario8,4,62.3338,57.8815,2500,2
Scenario8,4,60.1385,50.9974,3000,1
Scenario8,4,61.9131,58.7223,3000,2
Scenario8,4,53.3954,36.5932,3500,1
